fold,combo_id,min_cluster_size,min_samples,dbcv_score,n_clusters,n_noise_points,f1,precision,recall,auc,auprc,TP,FP,FN,train_time,val_time
4,22,75,325,0.08746780844193938,23,130243,0.004775022956841139,0.0023932987634623054,0.9873417721518988,0.6365969176264938,0.0023892740047554237,78,32513,1,5.249514579772949,0.6502435207366943
4,23,75,335,0.09792837844767706,22,130825,0.004753633787366304,0.00238255238560694,0.9873417721518988,0.6349732830725454,0.0023785934527299573,78,32660,1,5.25029730796814,0.6511621475219727
4,24,75,350,0.14301424589989103,3,57515,0.010488545404361027,0.005273017414833831,0.9620253164556962,0.8246355030860186,0.0051738209038171765,76,14337,3,5.267626762390137,0.6531147956848145
5,0,5,300,0.1065553524573302,30,130231,0.004845288110644301,0.0024285275130648634,1.0,0.6433250533072475,0.0024285275130648634,79,32451,0,5.2316508293151855,0.6512236595153809
5,1,5,315,0.1811235865376809,4,55317,0.011372633700424675,0.005718835963515275,1.0,0.8490360730693984,0.005718835963515275,79,13735,0,5.242037057876587,0.6532244682312012
5,2,5,325,0.19222434668656993,4,55965,0.011243951038998008,0.005653760824447148,1.0,0.847288474643336,0.005653760824447148,79,13894,0,5.251229763031006,0.6541156768798828
5,3,5,335,0.1422275966882401,4,56700,0.011104863649142536,0.005583433458194925,1.0,0.845354026071091,0.005583433458194925,79,14070,0,5.253965616226196,0.6545634269714355
5,4,5,350,0.16617149215513424,4,57644,0.010935012803654233,0.005497564370215727,1.0,0.842924974170715,0.005497564370215727,79,14291,0,5.269016981124878,0.6558115482330322
5,5,10,300,0.09484384799733826,29,129068,0.0048837784371909,0.0024478666377467234,1.0,0.6461497878701282,0.0024478666377467234,79,32194,0,5.233959913253784,0.6521894931793213
5,6,10,315,0.1811235865376809,4,55317,0.011372633700424675,0.005718835963515275,1.0,0.8490360730693983,0.005718835963515275,79,13735,0,5.193524360656738,0.6531946659088135
5,7,10,325,0.19222434668656993,4,55965,0.011243951038998008,0.005653760824447148,1.0,0.847288474643336,0.005653760824447148,79,13894,0,5.2506797313690186,0.6542448997497559
5,8,10,335,0.1422275966882401,4,56700,0.011104863649142536,0.005583433458194925,1.0,0.8453540260710909,0.005583433458194925,79,14070,0,5.255334377288818,0.6545083522796631
5,9,10,350,0.16491261197438067,3,57649,0.01092896174863388,0.005494505494505495,1.0,0.8428370446901585,0.005494505494505495,79,14299,0,5.271624326705933,0.6560981273651123
5,10,25,300,0.09276754330269738,27,129091,0.004882118468621574,0.002447032585801016,1.0,0.6460288848343628,0.002447032585801016,79,32205,0,5.234740972518921,0.6517548561096191
5,11,25,315,0.08228171543686623,26,130247,0.00483698147864687,0.002424354017062542,1.0,0.6427095469433514,0.002424354017062542,79,32507,0,5.195308685302734,0.6533904075622559
5,12,25,325,0.1548369886044406,3,55989,0.011234357224118316,0.005648909545942081,1.0,0.8471565804225012,0.005648909545942081,79,13906,0,5.202372074127197,0.6542201042175293
5,13,25,335,0.14256494222658408,3,56720,0.011097064194409327,0.005579490076982838,1.0,0.8452441142203952,0.005579490076982838,79,14080,0,5.255347967147827,0.6549539566040039
5,14,25,350,0.16491261197438067,3,57649,0.01092896174863388,0.005494505494505495,1.0,0.8428370446901585,0.005494505494505495,79,14299,0,5.274417877197266,0.6561613082885742
5,15,50,300,0.09919580952713616,24,128849,0.004892549699634607,0.0024522737855036474,1.0,0.6467872766041635,0.0024522737855036474,79,32136,0,5.234904766082764,0.6522045135498047
5,16,50,315,0.09290280499831706,23,129887,0.004850345356868764,0.002431068439192516,1.0,0.643698753599613,0.002431068439192516,79,32417,0,5.24317193031311,0.6528117656707764
5,17,50,325,0.1548369886044406,3,55989,0.011234357224118316,0.005648909545942081,1.0,0.8471565804225012,0.005648909545942081,79,13906,0,5.248700857162476,0.6539278030395508
5,18,50,335,0.14256494222658408,3,56720,0.011097064194409327,0.005579490076982838,1.0,0.8452441142203952,0.005579490076982838,79,14080,0,5.2531726360321045,0.6543459892272949
5,19,50,350,0.16491261197438067,3,57649,0.01092896174863388,0.005494505494505495,1.0,0.8428370446901585,0.005494505494505495,79,14299,0,5.27081561088562,0.6561305522918701
5,20,75,300,0.08546242243395363,23,128695,0.004897098933796182,0.002454559577442908,1.0,0.6471170121562507,0.002454559577442908,79,32106,0,5.235564708709717,0.6517443656921387
5,21,75,315,0.09423659258453339,22,129033,0.004880761151612505,0.0024463506022977116,1.0,0.6459299641687367,0.0024463506022977116,79,32214,0,5.2452476024627686,0.6535787582397461
5,22,75,325,0.08357853731702286,22,129826,0.004847071816424824,0.0024294237037948215,1.0,0.6434569475280825,0.0024294237037948215,79,32439,0,5.254852533340454,0.6534960269927979
5,23,75,335,0.10444473979342003,22,130574,0.004820012202562538,0.0024158282621326564,1.0,0.6414455606603504,0.0024158282621326564,79,32622,0,5.25476598739624,0.6548023223876953
5,24,75,350,0.16491261197438067,3,57649,0.01092896174863388,0.005494505494505495,1.0,0.8428370446901585,0.005494505494505495,79,14299,0,5.270431756973267,0.6555066108703613
